RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nint  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  15000    M =  10

   it   nf  nint  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.800E+03  1.038E+06
    1    3     1     0  ---    1  1.4E-04  5.0E+00  1.569E+03  8.699E+05
    2    4     0     0  con    0  1.0E+00  3.6E+01  4.825E+02  1.787E+05
    3    5     0     0  con    0  1.0E+00  1.7E+01  2.051E+02  6.587E+04
    4    6     0     0  con    0  1.0E+00  1.4E+01  5.330E+01  3.413E+04
    5    7     0     0  con    0  1.0E+00  4.8E+00  3.306E+01  3.136E+04
    6   10     0     0  con    2  2.6E+00  1.1E+01  4.938E+01  2.716E+04
    7   12     0     0  con    1  1.4E-01  6.5E+00  7.547E+01  2.533E+04
    8   13     0     0  con    0  1.0E+00  8.7E+00  9.513E+01  2.164E+04
    9   14     0     0  con    0  1.0E+00  1.1E+01  8.441E+01  1.377E+04
   10   16     0     0  con    1  4.7E-01  5.4E+00  1.326E+02  1.093E+04
   11   17     0     0  con    0  1.0E+00  5.7E+00  5.752E+01  8.752E+03
   12   18     0     0  con    0  1.0E+00  3.7E+00  4.516E+01  8.410E+03
   13   19     0     0  con    0  1.0E+00  1.3E+00  3.427E+01  8.228E+03
   14   20     0     0  con    0  1.0E+00  5.2E-01  3.235E+01  8.170E+03
   15   21     0     0  con    0  1.0E+00  1.0E+00  2.496E+01  8.110E+03
   16   22     0     0  con    0  1.0E+00  7.5E-01  1.471E+01  8.089E+03
   17   23     0     0  con    0  1.0E+00  3.2E-01  1.537E+01  8.079E+03
   18   24     0     0  con    0  1.0E+00  9.8E-02  8.579E+00  8.075E+03
   19   25     0     0  con    0  1.0E+00  2.1E-01  6.491E+00  8.071E+03
   20   26     0     0  con    0  1.0E+00  2.9E-01  1.422E+01  8.067E+03
   21   28     0     0  con    1  4.8E-01  2.3E-01  1.388E+01  8.065E+03
   22   29     0     0  con    0  1.0E+00  2.2E-01  2.889E+00  8.063E+03
   23   30     0     0  con    0  1.0E+00  1.1E-01  3.388E+00  8.062E+03
   24   31     0     0  con    0  1.0E+00  1.8E-01  3.636E+00  8.060E+03
