RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nint  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  244440    M =  10

   it   nf  nint  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.018E+04  1.276E+07
    1    4     1     0  ---    2  1.5E-04  2.1E+01  5.014E+03  1.024E+07
    2    5     0     0  con    0  1.0E+00  6.6E+01  5.285E+03  6.088E+06
    3    6     0     0  con    0  1.0E+00  4.8E+01  9.302E+03  4.617E+06
    4    8     0     0  con    1  2.9E-01  5.7E+01  1.450E+04  3.148E+06
    5   10     0     0  con    1  2.7E-01  3.9E+01  1.213E+04  2.439E+06
    6   11     0     0  con    0  1.0E+00  4.8E+01  2.421E+03  1.641E+06
    7   12     0     0  con    0  1.0E+00  2.7E+01  3.803E+03  1.167E+06
    8   13     0     0  con    0  1.0E+00  3.3E+01  9.574E+03  8.788E+05
    9   14     0     0  con    0  1.0E+00  2.2E+01  8.361E+03  7.354E+05
   10   15     0     0  con    0  1.0E+00  7.6E+00  2.840E+03  6.497E+05
   11   16     0     0  con    0  1.0E+00  1.3E+01  2.934E+03  5.711E+05
   12   17     0     0  con    0  1.0E+00  1.2E+01  2.058E+03  5.219E+05
   13   18     0     0  con    0  1.0E+00  1.6E+01  2.195E+03  4.659E+05
   14   19     0     0  con    0  1.0E+00  1.6E+01  2.417E+03  4.228E+05
   15   20     0     0  con    0  1.0E+00  6.5E+00  1.378E+03  3.946E+05
   16   21     0     0  con    0  1.0E+00  6.4E+00  6.370E+02  3.726E+05
   17   22     0     0  con    0  1.0E+00  1.2E+01  2.708E+03  3.500E+05
   18   23     0     0  con    0  1.0E+00  1.0E+01  1.501E+03  3.336E+05
   19   24     0     0  con    0  1.0E+00  3.8E+00  9.525E+02  3.218E+05
   20   25     0     0  con    0  1.0E+00  7.4E+00  4.204E+02  3.084E+05
   21   26     0     0  con    0  1.0E+00  7.6E+00  1.260E+03  2.984E+05
   22   27     0     0  con    0  1.0E+00  1.0E+01  6.302E+02  2.871E+05
   23   28     0     0  con    0  1.0E+00  6.4E+00  9.738E+02  2.800E+05
   24   29     0     0  con    0  1.0E+00  4.4E+00  4.352E+02  2.738E+05
   25   30     0     0  con    0  1.0E+00  5.1E+00  6.767E+02  2.676E+05
   26   31     0     0  con    0  1.0E+00  7.2E+00  1.459E+03  2.624E+05
   27   32     0     0  con    0  1.0E+00  3.8E+00  4.415E+02  2.579E+05
   28   33     0     0  con    0  1.0E+00  4.2E+00  5.236E+02  2.543E+05
   29   34     0     0  con    0  1.0E+00  4.8E+00  1.234E+03  2.515E+05
   30   35     0     0  con    0  1.0E+00  3.5E+00  4.837E+02  2.483E+05
   31   36     0     0  con    0  1.0E+00  4.4E+00  3.873E+02  2.450E+05
   32   37     0     0  con    0  1.0E+00  4.8E+00  7.147E+02  2.422E+05
   33   38     0     0  con    0  1.0E+00  6.1E+00  1.032E+03  2.393E+05
   34   39     0     0  con    0  1.0E+00  1.8E+00  1.785E+02  2.372E+05
   35   40     0     0  con    0  1.0E+00  2.5E+00  4.111E+02  2.351E+05
   36   41     0     0  con    0  1.0E+00  3.9E+00  7.022E+02  2.329E+05
   37   42     0     0  con    0  1.0E+00  8.6E+00  5.560E+02  2.305E+05
   38   43     0     0  con    0  1.0E+00  2.4E+00  2.581E+02  2.284E+05
   39   44     0     0  con    0  1.0E+00  1.7E+00  2.975E+02  2.270E+05
   40   45     0     0  con    0  1.0E+00  3.9E+00  4.296E+02  2.252E+05
   41   46     0     0  con    0  1.0E+00  6.8E+00  1.229E+03  2.242E+05
   42   47     0     0  con    0  1.0E+00  1.1E+00  3.578E+02  2.224E+05
   43   48     0     0  con    0  1.0E+00  1.6E+00  3.100E+02  2.214E+05
   44   49     0     0  con    0  1.0E+00  2.8E+00  4.793E+02  2.203E+05
   45   50     0     0  con    0  1.0E+00  5.5E+00  1.324E+03  2.192E+05
   46   51     0     0  con    0  1.0E+00  2.8E+00  4.058E+02  2.175E+05
   47   52     0     0  con    0  1.0E+00  1.9E+00  1.453E+02  2.166E+05
   48   53     0     0  con    0  1.0E+00  2.3E+00  3.644E+02  2.156E+05
   49   54     0     0  con    0  1.0E+00  4.3E+00  4.395E+02  2.140E+05
   50   56     0     0  con    1  4.3E-01  3.9E+00  8.064E+02  2.131E+05
   51   57     0     0  con    0  1.0E+00  3.5E+00  1.498E+02  2.119E+05
   52   58     0     0  con    0  1.0E+00  2.4E+00  1.777E+02  2.109E+05
   53   59     0     0  con    0  1.0E+00  4.3E+00  5.121E+02  2.096E+05
   54   60     0     0  con    0  1.0E+00  6.3E+00  8.745E+02  2.090E+05
   55   61     0     0  con    0  1.0E+00  5.7E-01  2.632E+02  2.077E+05
   56   62     0     0  con    0  1.0E+00  1.2E+00  1.979E+02  2.070E+05
   57   63     0     0  con    0  1.0E+00  2.6E+00  3.623E+02  2.062E+05
   58   64     0     0  con    0  1.0E+00  5.4E+00  8.069E+02  2.050E+05
   59   65     0     0  con    0  1.0E+00  8.0E+00  8.682E+02  2.041E+05
   60   66     0     0  con    0  1.0E+00  7.2E-01  9.830E+01  2.033E+05
   61   67     0     0  con    0  1.0E+00  9.8E-01  2.886E+02  2.027E+05
   62   68     0     0  con    0  1.0E+00  2.2E+00  4.218E+02  2.019E+05
   63   69     0     0  con    0  1.0E+00  7.2E+00  1.523E+03  2.015E+05
   64   70     0     0  con    0  1.0E+00  2.6E+00  2.203E+02  1.999E+05
   65   71     0     0  con    0  1.0E+00  1.0E+00  1.207E+02  1.994E+05
   66   72     0     0  con    0  1.0E+00  2.8E+00  2.810E+02  1.987E+05
   67   73     0     0  con    0  1.0E+00  3.9E+00  3.363E+02  1.978E+05
   68   75     0     0  con    1  5.1E-01  4.1E+00  6.438E+02  1.970E+05
   69   76     0     0  con    0  1.0E+00  4.4E+00  1.974E+02  1.960E+05
   70   77     0     0  con    0  1.0E+00  2.7E+00  1.672E+02  1.952E+05
   71   78     0     0  con    0  1.0E+00  3.4E+00  4.555E+02  1.945E+05
   72   79     0     0  con    0  1.0E+00  3.1E+00  4.103E+02  1.938E+05
   73   80     0     0  con    0  1.0E+00  1.7E+00  3.411E+02  1.932E+05
   74   81     0     0  con    0  1.0E+00  3.4E+00  2.190E+02  1.923E+05
   75   82     0     0  con    0  1.0E+00  3.0E+00  2.250E+02  1.917E+05
   76   83     0     0  con    0  1.0E+00  7.6E+00  5.721E+02  1.908E+05
   77   84     0     0  con    0  1.0E+00  3.3E+00  4.901E+02  1.901E+05
   78   85     0     0  con    0  1.0E+00  7.1E-01  2.421E+02  1.896E+05
   79   86     0     0  con    0  1.0E+00  1.6E+00  1.217E+02  1.889E+05
   80   87     0     0  con    0  1.0E+00  4.0E+00  6.335E+02  1.882E+05
   81   88     0     0  con    0  1.0E+00  3.8E+00  2.467E+02  1.875E+05
   82   89     0     0  con    0  1.0E+00  4.2E+00  1.419E+02  1.869E+05
   83   90     0     0  con    0  1.0E+00  4.5E+00  4.371E+02  1.863E+05
   84   91     0     0  con    0  1.0E+00  2.2E+00  2.617E+02  1.857E+05
   85   92     0     0  con    0  1.0E+00  2.3E+00  2.602E+02  1.850E+05
   86   93     0     0  con    0  1.0E+00  3.0E+00  1.006E+03  1.847E+05
   87   94     0     0  con    0  1.0E+00  7.5E-01  1.828E+02  1.841E+05
   88   95     0     0  con    0  1.0E+00  1.9E+00  3.692E+02  1.837E+05
   89   96     0     0  con    0  1.0E+00  3.6E+00  5.448E+02  1.832E+05
   90   97     0     0  con    0  1.0E+00  5.1E+00  5.302E+02  1.824E+05
   91   99     0     0  con    1  3.1E-01  3.8E+00  4.714E+02  1.820E+05
   92  100     0     0  con    0  1.0E+00  4.9E+00  1.251E+02  1.813E+05
   93  101     0     0  con    0  1.0E+00  2.6E+00  2.301E+02  1.808E+05
   94  102     0     0  con    0  1.0E+00  3.6E+00  4.311E+02  1.803E+05
   95  103     0     0  con    0  1.0E+00  3.9E+00  4.572E+02  1.798E+05
   96  104     0     0  con    0  1.0E+00  1.2E+00  2.118E+02  1.794E+05
   97  105     0     0  con    0  1.0E+00  2.9E+00  2.564E+02  1.788E+05
   98  106     0     0  con    0  1.0E+00  2.3E+00  2.199E+02  1.784E+05
   99  107     0     0  con    0  1.0E+00  9.2E+00  1.036E+03  1.782E+05
  100  108     0     0  con    0  1.0E+00  1.9E+00  1.777E+02  1.774E+05
  101  109     0     0  con    0  1.0E+00  3.8E-01  1.469E+02  1.772E+05
  102  110     0     0  con    0  1.0E+00  1.6E+00  4.128E+02  1.767E+05
  103  111     0     0  con    0  1.0E+00  3.8E+00  7.562E+02  1.763E+05
  104  112     0     0  con    0  1.0E+00  2.6E+00  2.945E+02  1.758E+05
  105  113     0     0  con    0  1.0E+00  2.8E+00  1.265E+02  1.754E+05
  106  114     0     0  con    0  1.0E+00  2.3E+00  2.747E+02  1.751E+05
  107  115     0     0  con    0  1.0E+00  4.2E+00  4.680E+02  1.745E+05
  108  116     0     0  con    0  1.0E+00  4.2E+00  3.861E+02  1.741E+05
  109  117     0     0  con    0  1.0E+00  8.7E-01  1.011E+02  1.737E+05
  110  118     0     0  con    0  1.0E+00  1.2E+00  2.103E+02  1.733E+05
  111  119     0     0  con    0  1.0E+00  1.6E+00  3.346E+02  1.730E+05
  112  120     0     0  con    0  1.0E+00  4.1E+00  2.637E+02  1.725E+05
  113  121     0     0  con    0  1.0E+00  2.9E+00  2.470E+02  1.721E+05
  114  122     0     0  con    0  1.0E+00  3.2E+00  2.498E+02  1.717E+05
  115  123     0     0  con    0  1.0E+00  3.1E+00  3.990E+02  1.714E+05
  116  124     0     0  con    0  1.0E+00  2.7E+00  2.505E+02  1.710E+05
  117  125     0     0  con    0  1.0E+00  1.5E+00  1.638E+02  1.707E+05
  118  126     0     0  con    0  1.0E+00  2.1E+00  2.013E+02  1.704E+05
  119  127     0     0  con    0  1.0E+00  2.4E+00  3.604E+02  1.701E+05
  120  128     0     0  con    0  1.0E+00  2.4E+00  1.823E+02  1.697E+05
  121  129     0     0  con    0  1.0E+00  4.5E+00  1.890E+02  1.693E+05
  122  130     0     0  con    0  1.0E+00  2.6E+00  3.851E+02  1.690E+05
  123  131     0     0  con    0  1.0E+00  7.4E-01  1.951E+02  1.687E+05
  124  132     0     0  con    0  1.0E+00  1.4E+00  1.124E+02  1.683E+05
  125  133     0     0  con    0  1.0E+00  1.8E+00  1.926E+02  1.681E+05
  126  134     0     0  con    0  1.0E+00  4.8E+00  4.346E+02  1.677E+05
  127  135     0     0  con    0  1.0E+00  2.0E+00  4.854E+02  1.674E+05
  128  136     0     0  con    0  1.0E+00  4.9E-01  2.735E+02  1.672E+05
  129  137     0     0  con    0  1.0E+00  1.4E+00  1.589E+02  1.670E+05
  130  138     0     0  con    0  1.0E+00  2.5E+00  2.850E+02  1.666E+05
  131  139     0     0  con    0  1.0E+00  5.1E+00  3.437E+02  1.663E+05
  132  140     0     0  con    0  1.0E+00  2.9E+00  2.105E+02  1.660E+05
  133  141     0     0  con    0  1.0E+00  1.4E+00  1.543E+02  1.657E+05
  134  142     0     0  con    0  1.0E+00  2.3E+00  2.070E+02  1.654E+05
  135  143     0     0  con    0  1.0E+00  3.4E+00  3.701E+02  1.651E+05
  136  144     0     0  con    0  1.0E+00  2.9E+00  1.645E+02  1.648E+05
  137  145     0     0  con    0  1.0E+00  3.0E+00  1.520E+02  1.645E+05
  138  146     0     0  con    0  1.0E+00  1.9E+00  1.486E+02  1.643E+05
  139  147     0     0  con    0  1.0E+00  2.3E+00  3.173E+02  1.640E+05
  140  148     0     0  con    0  1.0E+00  4.1E+00  3.746E+02  1.637E+05
  141  149     0     0  con    0  1.0E+00  5.9E-01  1.015E+02  1.635E+05
  142  150     0     0  con    0  1.0E+00  4.7E-01  1.397E+02  1.633E+05
  143  151     0     0  con    0  1.0E+00  1.9E+00  2.214E+02  1.630E+05
  144  152     0     0  con    0  1.0E+00  4.3E+00  6.209E+02  1.628E+05
  145  153     0     0  con    0  1.0E+00  5.7E-01  1.347E+02  1.625E+05
  146  154     0     0  con    0  1.0E+00  1.2E+00  1.228E+02  1.624E+05
  147  155     0     0  con    0  1.0E+00  1.5E+00  1.996E+02  1.622E+05
  148  156     0     0  con    0  1.0E+00  3.0E+00  2.946E+02  1.618E+05
  149  158     0     0  con    1  3.9E-01  2.1E+00  2.959E+02  1.617E+05
  150  159     0     0  con    0  1.0E+00  2.4E+00  1.171E+02  1.614E+05
  151  160     0     0  con    0  1.0E+00  1.8E+00  7.268E+01  1.611E+05
  152  161     0     0  con    0  1.0E+00  2.0E+00  2.477E+02  1.609E+05
  153  162     0     0  con    0  1.0E+00  2.3E+00  2.511E+02  1.607E+05
  154  163     0     0  con    0  1.0E+00  9.4E-01  1.282E+02  1.605E+05
  155  164     0     0  con    0  1.0E+00  2.2E+00  2.034E+02  1.602E+05
  156  165     0     0  con    0  1.0E+00  1.9E+00  2.102E+02  1.601E+05
  157  166     0     0  con    0  1.0E+00  2.0E+00  1.634E+02  1.599E+05
  158  167     0     0  con    0  1.0E+00  5.1E+00  4.428E+02  1.596E+05
  159  168     0     0  con    0  1.0E+00  1.5E+00  1.036E+02  1.594E+05
  160  169     0     0  con    0  1.0E+00  3.0E-01  1.319E+02  1.592E+05
  161  170     0     0  con    0  1.0E+00  1.8E+00  2.229E+02  1.590E+05
  162  172     0     0  con    1  5.2E-01  2.0E+00  3.022E+02  1.588E+05
  163  173     0     0  con    0  1.0E+00  1.8E+00  1.769E+02  1.586E+05
  164  174     0     0  con    0  1.0E+00  3.7E+00  2.094E+02  1.583E+05
  165  175     0     0  con    0  1.0E+00  2.8E+00  4.962E+02  1.582E+05
  166  176     0     0  con    0  1.0E+00  4.8E-01  2.114E+02  1.580E+05
  167  177     0     0  con    0  1.0E+00  9.5E-01  1.521E+02  1.578E+05
  168  178     0     0  con    0  1.0E+00  1.5E+00  1.922E+02  1.577E+05
  169  179     0     0  con    0  1.0E+00  4.3E+00  6.590E+02  1.576E+05
  170  180     0     0  con    0  1.0E+00  9.8E-01  1.412E+02  1.573E+05
  171  181     0     0  con    0  1.0E+00  8.5E-01  7.399E+01  1.572E+05
  172  182     0     0  con    0  1.0E+00  2.0E+00  2.143E+02  1.570E+05
  173  183     0     0  con    0  1.0E+00  2.9E+00  3.035E+02  1.568E+05
  174  185     0     0  con    1  3.8E-01  2.8E+00  3.506E+02  1.566E+05
  175  186     0     0  con    0  1.0E+00  3.2E+00  1.130E+02  1.564E+05
  176  187     0     0  con    0  1.0E+00  1.6E+00  9.126E+01  1.562E+05
  177  188     0     0  con    0  1.0E+00  2.4E+00  2.506E+02  1.560E+05
  178  189     0     0  con    0  1.0E+00  2.0E+00  2.313E+02  1.558E+05
  179  190     0     0  con    0  1.0E+00  1.4E+00  1.789E+02  1.557E+05
  180  191     0     0  con    0  1.0E+00  3.0E+00  2.413E+02  1.555E+05
  181  192     0     0  con    0  1.0E+00  1.3E+00  2.383E+02  1.553E+05
  182  193     0     0  con    0  1.0E+00  1.6E+00  2.654E+02  1.552E+05
  183  194     0     0  con    0  1.0E+00  3.7E+00  3.756E+02  1.550E+05
  184  196     0     0  con    1  5.2E-01  2.0E+00  2.349E+02  1.548E+05
  185  197     0     0  con    0  1.0E+00  1.3E+00  1.475E+02  1.547E+05
  186  198     0     0  con    0  1.0E+00  2.2E+00  1.334E+02  1.545E+05
  187  199     0     0  con    0  1.0E+00  1.8E+00  2.907E+02  1.543E+05
  188  200     0     0  con    0  1.0E+00  1.6E+00  1.592E+02  1.542E+05
  189  201     0     0  con    0  1.0E+00  2.4E+00  1.449E+02  1.539E+05
  190  202     0     0  con    0  1.0E+00  2.6E+00  2.682E+02  1.538E+05
  191  203     0     0  con    0  1.0E+00  1.2E+00  1.061E+02  1.537E+05
  192  204     0     0  con    0  1.0E+00  2.1E+00  1.129E+02  1.535E+05
  193  205     0     0  con    0  1.0E+00  2.3E+00  2.413E+02  1.534E+05
  194  206     0     0  con    0  1.0E+00  3.8E+00  1.145E+02  1.532E+05
  195  207     0     0  con    0  1.0E+00  1.8E+00  1.782E+02  1.530E+05
  196  208     0     0  con    0  1.0E+00  2.2E+00  1.696E+02  1.529E+05
  197  209     0     0  con    0  1.0E+00  1.3E+00  2.064E+02  1.528E+05
  198  210     0     0  con    0  1.0E+00  1.1E+00  8.995E+01  1.526E+05
  199  211     0     0  con    0  1.0E+00  3.3E+00  2.351E+02  1.524E+05
  200  212     0     0  con    0  1.0E+00  2.3E+00  2.618E+02  1.523E+05
  201  213     0     0  con    0  1.0E+00  7.5E-01  1.607E+02  1.522E+05
  202  214     0     0  con    0  1.0E+00  2.6E+00  9.316E+01  1.520E+05
  203  215     0     0  con    0  1.0E+00  1.7E+00  1.784E+02  1.519E+05
  204  216     0     0  con    0  1.0E+00  3.7E+00  1.358E+02  1.517E+05
  205  217     0     0  con    0  1.0E+00  3.2E+00  3.428E+02  1.516E+05
  206  218     0     0  con    0  1.0E+00  3.2E-01  1.071E+02  1.514E+05
  207  219     0     0  con    0  1.0E+00  5.2E-01  8.204E+01  1.513E+05
  208  220     0     0  con    0  1.0E+00  1.4E+00  1.249E+02  1.512E+05
